alpha;X;Y
110.0;1;0
43.9;0;1
41.0;0;1
101.1;1;0
122.6;1;0
46.3;0;1
44.6;0;1
48.9;0;1
12.0;0;1
8.7;0;1
111.0;1;0
101.7;1;0
90.5;0;1
29.1;0;1
31.4;0;1
52.5;0;1
50.0;0;1
75.6;1;0
125.6;1;0
59.2;0;1
55.4;0;1
166.5;0;1
9.7;0;1
53.2;0;1
42.8;0;1
42.8;0;1
111.3;1;0
121.7;1;0
100.5;1;0
170.4;0;1
46.1;0;1
94.6;1;0
115.2;1;0
101.8;1;0
147.4;1;0
147.2;0;1
123.5;1;0
106.5;1;0
26.4;0;1
98.6;1;0
10.9;0;1
138.2;1;0
14.1;0;1
62.0;0;1
157.2;1;0
174.8;0;1
4.3;0;1
114.8;1;0
77.6;0;1
119.6;1;0
58.5;0;1
144.3;1;0
26.5;0;1
127.9;1;0
141.0;1;0
74.2;0;1
79.6;0;1
97.9;1;0
35.0;0;1
86.4;1;0
118.5;1;0
128.5;1;0
105.6;1;0
122.5;1;0
142.4;1;0
115.7;1;0
151.2;1;0
75.6;1;0
159.6;1;0
151.3;1;0
54.6;0;1
75.5;0;1
170.5;0;1
147.0;0;1
142.4;0;1
61.3;0;1
110.4;1;0
26.7;0;1
54.2;1;0
115.5;1;0
135.4;1;0
167.2;0;1
93.4;1;0
100.8;1;0
30.7;0;1
11.6;0;1
146.1;1;0
152.8;1;0
18.0;0;1
102.2;1;0
138.0;1;0
25.4;0;1
14.9;1;0
123.5;1;0
152.0;1;0
132.6;1;0
154.6;0;1
35.8;0;1
48.2;0;1
142.1;1;0
21.8;0;1
136.9;1;0
139.1;1;0
137.0;1;0
78.0;1;0
47.9;0;1
9.4;0;1
61.4;0;1
21.8;0;1
51.0;0;1
125.4;1;0
31.2;0;1
66.2;1;0
69.5;0;1
111.9;1;0
60.5;1;0
47.5;0;1
70.0;0;1
15.7;0;1
2.1;0;1
122.8;1;0
146.9;1;0
103.5;1;0
0.2;0;1
62.7;0;1
124.8;1;0
75.1;1;0
