angle;X;Y
3.921151484327747880e+02;1;1
3.266620506868493976e+02;1;0
5.819802147605295062e+01;0;1
3.839416139541216921e+02;0;1
3.677431040749111730e+02;1;0
4.567206029197137696e+01;1;1
1.574733097214435986e+02;0;1
-1.044712238930791557e+02;0;1
-8.437312264147197993e+01;1;0
3.790632175430509392e+02;0;1
1.496809593003455063e+02;1;1
4.541372450896621444e+02;0;1
3.438594968228039761e+02;1;1
1.085393312049603054e+02;1;0
4.057418997730387673e+02;1;1
-1.308130258037030558e+01;1;0
-3.142252435576901917e+02;0;1
1.229895655403421131e+02;0;1
-3.503954140693927002e+02;0;1
1.841465608966784941e+02;1;0
1.361959534680284811e+01;0;1
-1.895399781403997395e+02;1;0
-7.477031603669928472e+00;0;1
-6.369243520186705609e+01;1;0
4.392850370068523489e+02;1;1
2.233369312503966171e+02;0;1
4.924439494262397830e+02;1;0
-1.225988031948996166e+02;0;1
6.676928493714964929e+01;0;1
-1.991337696810508646e+02;1;0
4.486322066481961883e+02;0;1
-1.162952475751959298e+02;0;1
-1.025201035004402286e+02;0;1
2.161541817112678814e+02;1;1
3.457089843553006858e+02;1;1
8.720378185711693675e+01;0;1
-1.935810592872188067e+02;1;1
-4.084225664593515148e+01;1;0
5.260009395848811664e+02;1;0
4.781900166880072334e+02;1;0
-1.990147575222158878e+02;1;1
-3.007167615890414254e+02;0;1
2.081275348568657932e+02;0;1
-6.802844826065282291e+01;1;0
-3.287018232148529364e+02;0;1
-2.338885496490881906e+02;1;0
1.751457341951007152e+02;0;1
-3.090631258245250592e+02;0;1
2.969838612601112118e+02;1;0
2.697526449250565292e+02;1;0
-2.479417377001354339e+02;1;0
6.063697325397632909e+01;0;1
3.373134474787469799e+02;1;0
-1.332551614453457773e+02;0;1
5.357401415060642194e+02;1;0
4.835687711876361163e+02;1;1
-4.754749468056348860e+01;1;0
3.829289462722554163e+02;0;1
7.726444822116334876e+01;0;1
5.193258333036870908e+02;1;0
5.004438756897692286e+01;1;0
5.900359013094487892e+01;1;1
-1.104705365678337898e+02;0;1
-2.584642456237566535e+02;1;0
3.829453313212036960e+02;1;1
-1.309288874421829973e+02;0;1
5.344747040473507695e+02;1;0
2.619882518124209696e+02;0;1
2.303737640856504356e+02;0;1
-3.086255077739530748e+02;1;0
-5.748664852833739758e+01;1;0
-1.881820346909875070e+02;1;0
5.488470232006175564e+00;1;1
-4.393738360712666235e+01;1;0
-1.654648224240703485e+02;0;1
5.258106334285988623e+02;1;0
1.113224226332982454e+02;1;0
3.692673974637856986e+02;0;1
3.074810740479617834e+02;1;0
2.540035296577102031e+02;0;1
4.006017915554177193e+02;0;1
-8.881795366496668009e+01;0;1
-3.424863247392075323e+02;1;0
7.139006685149693965e+01;1;1
5.254023038358557187e+02;1;1
1.055488446587361153e+02;0;1
-1.196597858624306809e+02;1;1
