alpha;beta;Xa;Ya;Xb;Yb
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;0.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;0;1
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
0.0;5.0;1;0;1;0
