alpha,beta,Xalpha,Yalpha,Xbeta,Ybeta
91.6,51,0,1,1,0
83.0,167,0,1,0,1
130.7,91,0,1,0,1
96.7,179,0,1,1,0
13.3,61,1,0,1,0
82.0,176,0,1,1,0
84.4,135,0,1,0,1
30.1,72,1,0,0,1
105.5,66,0,1,0,1
68.9,57,1,0,0,1
126.7,14,0,1,1,0
152.7,9,0,1,1,0
124.5,7,0,1,0,1
48.7,63,1,0,1,0
164.9,142,1,0,0,1
80.9,102,1,0,1,0
55.4,76,0,1,1,0
4.8,167,1,0,1,0
156.3,13,0,1,1,0
89.2,174,1,0,0,1
54.4,113,1,0,0,1
58.7,177,0,1,0,1
147.9,161,1,0,1,0
24.5,127,1,0,0,1
53.5,73,1,0,1,0
23.5,46,1,0,1,0
23.3,44,1,0,0,1
143.3,99,0,1,1,0
57.7,95,0,1,1,0
58.1,88,1,0,0,1
103.3,80,0,1,1,0
135.8,157,0,1,0,1
42.9,93,0,1,0,1
159.7,151,1,0,0,1
159.0,52,0,1,1,0
8.3,133,1,0,0,1
105.0,65,0,1,1,0
26.8,35,1,0,1,0
1.1,29,1,0,1,0
44.4,109,1,0,0,1
141.6,38,0,1,1,0
42.3,27,1,0,1,0
80.3,102,0,1,0,1
148.4,170,0,1,1,0
50.8,167,1,0,1,0
37.1,53,1,0,1,0
170.0,139,0,1,0,1
73.0,84,1,0,0,1
26.8,20,1,0,1,0
78.6,114,1,0,0,1
126.5,47,0,1,1,0
104.8,137,0,1,0,1
88.2,170,0,1,0,1
34.9,82,1,0,0,1
29.6,163,1,0,0,1
119.8,35,0,1,1,0
170.7,70,1,0,0,1
49.5,137,1,0,0,1
166.9,38,0,1,1,0
167.5,111,1,0,0,1
46.0,141,1,0,0,1
0.4,108,1,0,0,1
11.1,151,0,1,0,1
22.6,2,1,0,1,0
137.8,2,0,1,1,0
30.6,15,1,0,1,0
58.6,129,1,0,0,1
161.2,103,0,1,0,1
164.1,146,1,0,1,0
132.6,161,0,1,1,0
20.5,20,1,0,1,0
8.7,94,1,0,0,1
8.4,147,1,0,0,1
27.9,174,1,0,0,1
14.4,18,1,0,1,0
27.6,76,1,0,1,0
86.4,51,0,1,1,0
13.6,158,1,0,1,0
142.1,38,0,1,1,0
84.8,101,0,1,0,1
144.7,30,0,1,1,0
170.2,76,1,0,0,1
59.6,80,0,1,0,1
5.9,146,1,0,1,0
81.6,102,1,0,0,1
124.1,26,0,1,1,0
36.3,38,1,0,1,0
45.4,54,1,0,1,0
137.6,128,0,1,0,1
131.8,128,0,1,0,1
137.7,77,0,1,1,0
132.2,20,0,1,1,0
134.2,6,0,1,1,0
135.6,28,0,1,1,0
170.4,72,1,0,1,0
114.7,176,0,1,1,0
88.8,97,0,1,1,0
63.0,30,1,0,1,0
0.4,135,1,0,0,1
22.4,109,1,0,0,1
114.8,3,0,1,1,0
26.0,178,1,0,1,0
67.7,34,0,1,1,0
164.2,72,1,0,1,0
93.3,94,0,1,0,1
98.1,110,0,1,0,1
104.4,116,0,1,0,1
75.6,161,0,1,1,0
35.6,114,1,0,0,1
72.1,4,0,1,1,0
156.3,116,1,0,0,1
44.4,50,1,0,1,0
12.6,16,1,0,1,0
45.5,103,0,1,0,1
104.8,37,0,1,1,0
158.2,133,0,1,0,1
79.6,134,1,0,0,1
154.4,90,1,0,0,1
105.4,130,0,1,0,1
79.4,144,0,1,1,0
162.4,28,0,1,1,0
40.6,145,1,0,0,1
141.3,60,0,1,1,0
1.3,106,0,1,0,1
109.2,36,0,1,1,0
99.8,28,1,0,1,0
141.1,99,0,1,0,1
12.2,145,1,0,1,0
20.3,58,1,0,1,0
118.5,107,0,1,0,1
175.4,90,0,1,0,1
48.8,44,1,0,1,0
165.0,138,0,1,0,1
87.1,99,0,1,0,1
94.1,84,0,1,1,0
163.9,37,0,1,1,0
56.9,10,1,0,1,0
97.1,42,0,1,1,0
121.2,34,0,1,1,0
105.7,76,0,1,0,1
40.5,15,1,0,1,0
168.7,21,0,1,1,0
4.5,54,1,0,1,0
59.8,5,0,1,1,0
136.1,157,0,1,0,1
178.1,96,1,0,0,1
97.4,91,0,1,0,1
135.9,163,0,1,1,0
15.4,50,1,0,1,0
83.0,174,1,0,1,0
64.5,130,0,1,0,1
53.9,105,1,0,0,1
45.4,113,1,0,0,1
167.0,11,0,1,1,0
111.9,125,1,0,0,1
10.3,151,1,0,0,1
73.9,12,1,0,1,0
39.1,136,1,0,0,1
3.2,132,1,0,0,1
107.4,22,0,1,1,0
138.5,52,1,0,1,0
31.9,87,1,0,0,1
178.8,106,1,0,0,1
88.9,78,1,0,0,1
1.0,13,0,1,1,0
4.2,174,1,0,0,1
148.5,138,0,1,1,0
122.0,132,0,1,0,1
67.8,8,1,0,1,0
3.1,170,1,0,1,0
112.6,84,0,1,0,1
9.1,131,1,0,0,1
120.8,15,0,1,1,0
10.3,19,1,0,0,1
160.4,35,1,0,1,0
113.5,155,0,1,1,0
56.6,18,1,0,1,0
15.8,157,1,0,0,1
50.5,13,0,1,1,0
34.6,154,1,0,1,0
55.7,34,1,0,1,0
132.1,138,0,1,0,1
8.3,62,1,0,0,1
0.7,7,1,0,0,1
89.6,54,0,1,1,0
43.0,145,1,0,0,1
71.0,120,0,1,0,1
164.1,73,0,1,0,1
43.7,45,1,0,1,0
118.6,96,0,1,0,1
66.5,4,1,0,1,0
94.1,125,0,1,0,1
38.6,126,1,0,0,1
159.2,77,0,1,1,0
91.5,6,1,0,1,0
174.8,53,0,1,0,1
79.4,151,0,1,0,1
125.3,54,0,1,1,0
112.9,114,0,1,0,1
33.6,111,1,0,0,1
79.7,93,1,0,0,1
118.2,21,0,1,1,0
70.4,175,0,1,1,0
152.0,116,0,1,0,1
23.7,84,1,0,1,0
16.4,177,1,0,0,1
157.4,149,1,0,0,1
42.3,153,1,0,0,1
163.2,43,1,0,1,0
71.1,85,1,0,1,0
42.7,21,1,0,1,0
145.8,72,0,1,1,0
134.1,73,0,1,1,0
28.5,37,1,0,1,0
41.9,124,1,0,0,1
54.5,166,0,1,0,1
0.1,132,1,0,0,1
114.3,121,0,1,0,1
175.6,34,1,0,1,0
150.8,15,0,1,1,0
43.5,116,1,0,0,1
27.1,60,1,0,0,1
173.9,61,1,0,1,0
137.0,13,0,1,0,1
85.9,73,0,1,1,0
55.4,114,1,0,0,1
173.7,110,1,0,0,1
106.3,139,0,1,0,1
14.7,12,1,0,1,0
31.6,19,1,0,1,0
139.2,34,0,1,1,0
118.1,48,0,1,1,0
139.0,99,0,1,0,1
114.9,176,0,1,1,0
34.9,19,1,0,1,0
58.1,99,1,0,0,1
14.8,15,0,1,1,0
129.4,179,0,1,0,1
122.7,131,0,1,1,0
85.7,38,1,0,1,0
92.5,29,0,1,1,0
82.1,96,0,1,0,1
158.3,84,0,1,0,1
61.5,51,1,0,1,0
60.9,89,1,0,0,1
93.3,102,1,0,0,1
176.0,16,0,1,1,0
156.5,107,1,0,0,1
157.8,41,1,0,1,0
169.8,72,0,1,1,0
64.3,22,1,0,1,0
177.0,107,0,1,0,1
167.3,14,1,0,1,0
137.0,164,0,1,1,0
19.5,167,1,0,1,0
29.4,5,1,0,1,0
56.3,10,1,0,1,0
3.0,37,1,0,1,0
12.1,129,1,0,0,1
37.2,137,1,0,0,1
15.9,47,1,0,1,0
140.7,95,0,1,1,0
142.7,103,0,1,1,0
82.0,132,1,0,0,1
97.8,64,0,1,0,1
56.9,32,0,1,1,0
44.0,64,1,0,1,0
178.7,117,0,1,0,1
79.1,120,0,1,0,1
128.8,94,0,1,0,1
135.7,91,0,1,0,1
90.7,160,0,1,0,1
45.2,28,0,1,1,0
163.1,169,1,0,1,0
5.9,51,1,0,1,0
175.6,162,1,0,1,0
38.9,59,1,0,0,1
76.6,14,0,1,1,0
48.8,80,1,0,0,1
173.7,4,1,0,1,0
5.1,7,1,0,0,1
87.2,9,0,1,1,0
86.4,173,1,0,1,0
89.9,42,0,1,1,0
122.2,163,0,1,1,0
128.1,124,0,1,0,1
28.2,91,1,0,1,0
25.4,167,1,0,1,0
26.2,141,1,0,0,1
176.1,109,1,0,0,1
74.3,168,0,1,1,0
111.1,161,0,1,0,1
20.8,156,1,0,0,1
160.9,55,0,1,1,0
164.4,129,0,1,0,1
46.5,15,1,0,0,1
20.6,130,1,0,0,1
90.1,11,0,1,1,0
35.0,1,1,0,1,0
55.1,19,1,0,1,0
114.0,123,0,1,0,1
51.8,73,1,0,0,1
35.3,52,1,0,1,0
124.7,36,0,1,1,0
11.0,112,1,0,0,1
77.9,83,1,0,0,1
1.9,144,1,0,0,1
62.2,35,1,0,1,0
77.5,76,0,1,0,1
12.2,1,1,0,1,0
90.7,109,0,1,0,1
17.5,21,1,0,1,0
176.8,152,0,1,0,1
126.9,35,0,1,1,0
177.3,21,0,1,1,0
177.1,21,1,0,1,0
112.9,93,0,1,1,0
110.8,42,0,1,1,0
42.1,101,1,0,0,1
122.1,151,0,1,0,1
122.4,107,0,1,0,1
140.5,1,0,1,0,1
75.1,95,0,1,0,1
81.5,152,0,1,0,1
67.0,107,1,0,0,1
152.0,39,0,1,1,0
122.1,136,0,1,0,1
159.7,120,1,0,0,1
171.5,78,1,0,1,0
91.1,137,0,1,0,1
95.0,176,0,1,0,1
159.0,10,1,0,1,0
135.9,158,0,1,1,0
45.0,21,1,0,1,0
172.2,38,1,0,1,0
121.2,25,0,1,1,0
79.8,42,0,1,1,0
77.8,130,0,1,0,1
111.7,179,0,1,1,0
135.4,160,0,1,1,0
121.8,55,0,1,0,1
177.3,49,1,0,1,0
19.0,13,1,0,1,0
117.6,1,0,1,1,0
160.7,77,1,0,1,0
138.5,53,0,1,1,0
46.4,22,1,0,1,0
52.4,94,1,0,1,0
123.6,32,0,1,1,0
117.6,79,0,1,1,0
39.5,140,1,0,0,1
165.5,142,0,1,0,1
48.8,119,1,0,0,1
116.5,117,0,1,0,1
128.4,89,0,1,1,0
165.4,65,0,1,1,0
4.4,92,1,0,0,1
115.9,147,0,1,0,1
26.7,149,1,0,0,1
19.1,138,1,0,0,1
5.9,17,1,0,1,0
30.9,70,1,0,1,0
117.6,103,0,1,0,1
117.3,172,0,1,1,0
54.2,140,1,0,0,1
43.5,26,1,0,1,0
136.6,45,0,1,1,0
75.0,100,0,1,0,1
162.1,120,0,1,0,1
27.8,110,1,0,0,1
111.4,174,0,1,0,1
79.3,71,0,1,1,0
8.4,92,1,0,0,1
165.9,43,1,0,1,0
52.4,75,1,0,0,1
138.8,160,0,1,0,1
124.8,29,0,1,1,0
43.7,162,1,0,0,1
72.3,179,1,0,0,1
128.6,119,0,1,0,1
18.6,16,1,0,1,0
137.5,178,0,1,0,1
130.2,124,0,1,0,1
131.8,133,0,1,0,1
13.7,93,1,0,0,1
137.3,152,0,1,0,1
155.3,136,0,1,0,1
2.6,43,1,0,0,1
40.1,113,1,0,0,1
23.7,64,1,0,1,0
125.8,18,0,1,1,0
173.6,139,0,1,0,1
173.9,170,0,1,1,0
134.8,60,1,0,0,1
23.8,112,1,0,0,1
102.6,61,1,0,1,0
120.0,63,0,1,1,0
109.3,112,0,1,0,1
114.8,85,0,1,1,0
126.4,142,0,1,0,1
134.4,82,0,1,0,1
166.5,24,1,0,1,0
69.7,131,0,1,0,1
120.4,123,0,1,0,1
141.7,35,0,1,1,0
78.8,139,0,1,0,1
108.2,129,0,1,0,1
78.5,58,1,0,0,1
134.5,62,0,1,1,0
36.6,165,1,0,0,1
1.2,75,1,0,1,0
40.9,46,1,0,1,0
163.9,33,1,0,1,0
89.2,81,0,1,0,1
35.1,134,1,0,0,1
151.6,153,0,1,0,1
157.1,40,1,0,1,0
2.5,104,1,0,0,1
108.9,156,0,1,0,1
156.3,145,0,1,1,0
13.1,85,1,0,1,0
125.2,16,0,1,1,0
135.5,31,0,1,1,0
97.3,61,0,1,0,1
100.0,133,0,1,0,1
124.2,73,0,1,0,1
71.2,157,0,1,1,0
171.3,124,1,0,0,1
155.6,49,0,1,1,0
91.3,64,0,1,1,0
159.2,6,0,1,1,0
26.4,81,1,0,0,1
27.8,48,1,0,1,0
24.4,113,1,0,0,1
114.3,4,0,1,1,0
102.5,97,0,1,0,1
137.4,122,0,1,0,1
31.1,175,1,0,1,0
83.2,114,0,1,0,1
140.4,117,0,1,0,1
2.7,86,1,0,0,1
99.3,161,0,1,1,0
44.5,179,1,0,1,0
67.1,135,1,0,0,1
116.3,55,0,1,1,0
69.2,152,0,1,0,1
32.9,32,1,0,1,0
158.0,22,1,0,1,0
66.8,179,0,1,0,1
103.6,35,0,1,1,0
140.2,103,0,1,1,0
14.9,93,1,0,0,1
30.0,5,1,0,1,0
8.6,3,1,0,1,0
176.8,82,0,1,1,0
1.7,50,1,0,1,0
108.5,120,0,1,0,1
39.7,9,1,0,1,0
8.7,54,1,0,1,0
144.9,9,0,1,1,0
110.9,14,0,1,1,0
135.2,16,0,1,1,0
10.7,23,1,0,1,0
17.8,62,0,1,0,1
0.9,145,1,0,0,1
61.0,58,1,0,0,1
52.2,157,0,1,0,1
100.9,6,0,1,1,0
51.8,72,0,1,1,0
39.2,54,1,0,1,0
160.1,73,0,1,1,0
73.6,48,1,0,0,1
13.3,83,1,0,0,1
34.4,121,1,0,0,1
61.1,79,1,0,1,0
33.5,108,1,0,0,1
