alpha,beta,Xalpha,Yalpha,Xbeta,Ybeta
115.1,42,0,1,1,0
83.5,134,0,1,0,1
170.4,15,1,0,1,0
66.1,96,0,1,1,0
115.2,119,0,1,0,1
139.7,133,0,1,0,1
87.9,130,0,1,0,1
42.6,68,1,0,0,1
93.7,126,0,1,0,1
29.2,0,1,0,0,1
171.3,135,0,1,0,1
121.1,28,0,1,1,0
76.5,38,0,1,1,0
83.0,40,0,1,1,0
6.0,146,1,0,0,1
173.5,26,0,1,1,0
59.8,93,1,0,0,1
143.0,121,1,0,1,0
45.5,139,1,0,0,1
29.3,118,1,0,0,1
16.3,12,1,0,1,0
116.6,97,0,1,1,0
134.0,57,0,1,1,0
24.8,146,1,0,0,1
69.2,65,0,1,0,1
88.1,2,0,1,1,0
38.7,1,1,0,1,0
173.0,165,0,1,0,1
71.3,123,1,0,0,1
169.2,88,1,0,0,1
89.6,102,0,1,0,1
112.3,16,0,1,1,0
68.1,71,1,0,0,1
173.5,0,1,0,0,1
72.4,104,0,1,0,1
48.0,159,1,0,1,0
14.1,58,1,0,0,1
158.6,115,0,1,0,1
84.5,7,0,1,1,0
101.4,162,0,1,1,0
18.7,89,1,0,0,1
102.4,126,0,1,0,1
19.9,173,1,0,1,0
98.8,101,0,1,0,1
100.0,111,0,1,0,1
131.4,126,0,1,0,1
100.4,178,1,0,1,0
164.1,151,1,0,0,1
81.4,154,1,0,1,0
172.0,35,0,1,1,0
1.4,78,1,0,0,1
109.5,87,0,1,0,1
154.9,28,0,1,1,0
149.0,127,1,0,0,1
29.7,57,1,0,0,1
178.6,81,1,0,1,0
133.7,172,1,0,1,0
144.8,7,0,1,1,0
6.7,83,1,0,0,1
7.3,28,1,0,1,0
84.7,149,0,1,1,0
122.4,71,0,1,0,1
7.0,102,1,0,0,1
133.0,21,0,1,1,0
107.7,104,0,1,0,1
89.2,8,0,1,1,0
120.3,131,0,1,0,1
43.4,170,1,0,1,0
173.5,155,1,0,0,1
73.2,131,1,0,1,0
176.4,13,0,1,1,0
121.3,30,1,0,1,0
143.9,86,0,1,0,1
111.8,105,0,1,0,1
92.5,170,0,1,1,0
128.0,113,0,1,0,1
33.3,65,1,0,1,0
137.2,34,1,0,1,0
53.1,55,1,0,1,0
164.4,10,1,0,1,0
120.4,42,0,1,1,0
178.5,112,1,0,0,1
99.1,49,0,1,1,0
158.4,39,0,1,1,0
137.9,174,0,1,1,0
80.4,27,0,1,1,0
165.8,75,0,1,0,1
65.1,14,1,0,1,0
118.2,88,0,1,0,1
54.5,101,1,0,0,1
126.9,147,0,1,0,1
42.1,36,1,0,1,0
124.3,172,0,1,0,1
89.5,2,0,1,1,0
120.6,161,0,1,0,1
36.4,41,1,0,1,0
126.6,120,0,1,0,1
131.9,120,0,1,0,1
177.4,96,0,1,0,1
127.1,116,0,1,0,1
115.8,163,0,1,1,0
162.7,65,1,0,1,0
131.5,119,0,1,0,1
28.8,34,1,0,1,0
103.6,62,0,1,0,1
99.9,127,0,1,0,1
52.9,92,1,0,0,1
92.4,39,0,1,1,0
89.8,151,0,1,0,1
118.9,92,0,1,0,1
67.7,117,1,0,0,1
49.5,50,1,0,1,0
6.3,11,1,0,1,0
54.1,107,1,0,0,1
49.2,34,1,0,1,0
176.4,37,1,0,1,0
143.1,6,0,1,1,0
57.3,177,1,0,1,0
31.4,62,1,0,0,1
32.8,57,1,0,1,0
156.9,163,1,0,1,0
112.2,162,0,1,1,0
92.8,166,0,1,1,0
165.3,123,0,1,0,1
162.1,72,0,1,0,1
49.1,151,1,0,1,0
88.4,57,0,1,0,1
58.4,172,0,1,1,0
10.3,78,1,0,1,0
119.9,174,0,1,1,0
142.4,165,0,1,1,0
78.1,19,0,1,1,0
150.1,133,0,1,0,1
56.2,128,1,0,0,1
148.4,112,1,0,0,1
142.9,67,0,1,0,1
82.1,139,0,1,0,1
148.0,56,1,0,1,0
29.2,139,1,0,0,1
44.7,89,1,0,0,1
27.5,37,1,0,1,0
129.2,168,0,1,1,0
101.3,119,0,1,0,1
0.1,3,1,0,1,0
131.8,54,0,1,1,0
132.1,78,0,1,0,1
2.3,68,1,0,0,1
33.5,136,1,0,0,1
109.2,85,0,1,0,1
45.4,1,1,0,1,0
133.1,129,0,1,0,1
95.1,145,0,1,1,0
103.6,4,0,1,1,0
161.7,127,1,0,0,1
42.4,136,1,0,0,1
73.8,80,1,0,0,1
11.2,71,1,0,0,1
41.1,27,1,0,1,0
123.7,49,0,1,0,1
166.0,77,1,0,1,0
170.0,86,0,1,0,1
118.7,127,0,1,0,1
88.3,35,0,1,1,0
42.9,67,0,1,0,1
47.4,134,1,0,0,1
167.3,1,1,0,1,0
110.9,168,0,1,1,0
167.2,168,0,1,0,1
61.8,137,1,0,1,0
74.5,64,1,0,0,1
15.8,107,1,0,0,1
30.0,49,1,0,1,0
156.7,166,1,0,0,1
154.4,43,1,0,1,0
177.6,57,0,1,1,0
55.1,25,1,0,1,0
96.3,16,0,1,1,0
155.6,167,0,1,1,0
40.7,73,1,0,0,1
90.0,167,0,1,0,1
88.6,150,0,1,1,0
88.8,109,0,1,0,1
31.0,56,1,0,1,0
15.2,131,1,0,0,1
45.9,162,1,0,0,1
176.5,24,1,0,1,0
99.9,45,0,1,1,0
33.9,66,1,0,0,1
75.4,179,1,0,1,0
131.7,18,1,0,1,0
164.3,155,1,0,1,0
157.9,17,1,0,1,0
72.3,164,0,1,1,0
166.4,111,1,0,0,1
93.5,153,0,1,0,1
93.7,3,1,0,1,0
168.0,97,0,1,0,1
148.4,49,0,1,1,0
141.0,130,0,1,0,1
87.3,5,0,1,1,0
43.9,23,1,0,1,0
87.1,26,1,0,1,0
45.3,73,1,0,1,0
86.5,154,1,0,1,0
74.8,26,1,0,1,0
170.3,3,1,0,1,0
94.5,22,1,0,1,0
135.6,25,0,1,1,0
7.9,41,1,0,1,0
18.5,60,1,0,0,1
9.9,2,1,0,1,0
82.6,101,1,0,0,1
60.5,51,0,1,1,0
1.9,146,0,1,0,1
