alpha,X,Y
92.3,0,1
130.8,1,0
114.0,0,1
173.6,1,0
158.8,1,0
4.6,1,0
142.1,1,0
111.8,0,1
174.6,1,0
151.0,1,0
165.6,1,0
45.4,1,0
8.4,1,0
121.3,1,0
9.9,1,0
139.6,1,0
139.8,0,1
122.3,0,1
135.0,0,1
99.4,0,1
53.8,0,1
19.0,1,0
27.1,0,1
144.5,0,1
36.7,0,1
52.5,0,1
29.1,1,0
83.2,0,1
84.8,0,1
135.9,0,1
179.0,1,0
72.6,1,0
83.7,0,1
114.2,1,0
55.2,0,1
179.1,1,0
44.2,1,0
36.6,1,0
3.0,1,0
74.8,0,1
9.2,1,0
158.0,1,0
116.6,1,0
118.7,0,1
39.2,1,0
70.5,0,1
131.3,0,1
5.4,1,0
153.4,1,0
65.5,1,0
102.5,0,1
67.2,0,1
148.1,1,0
160.5,1,0
23.0,1,0
74.8,0,1
177.5,1,0
165.9,1,0
154.5,1,0
46.7,0,1
6.0,1,0
83.5,0,1
161.6,1,0
95.2,0,1
2.7,1,0
173.0,1,0
64.6,0,1
152.5,0,1
105.4,0,1
171.1,1,0
148.6,0,1
117.9,0,1
70.8,1,0
28.1,1,0
175.3,1,0
105.0,0,1
51.5,0,1
110.9,0,1
52.6,0,1
58.5,0,1
54.9,0,1
105.1,0,1
87.9,0,1
14.8,1,0
32.3,1,0
136.6,0,1
31.1,1,0
176.1,1,0
110.8,0,1
11.2,1,0
116.1,0,1
119.8,0,1
53.0,0,1
172.3,1,0
167.5,1,0
21.3,1,0
53.7,0,1
156.0,1,0
45.3,1,0
101.9,0,1
58.5,1,0
173.9,1,0
21.9,0,1
122.4,0,1
97.7,0,1
156.6,0,1
80.2,0,1
19.7,1,0
61.0,0,1
150.8,1,0
12.5,1,0
177.9,1,0
99.5,1,0
41.5,1,0
31.8,1,0
168.1,0,1
26.2,1,0
64.3,0,1
60.6,0,1
62.5,1,0
178.1,1,0
4.1,1,0
94.3,0,1
167.2,1,0
138.2,0,1
55.0,1,0
129.1,1,0
86.1,0,1
143.9,1,0
14.9,1,0
93.4,0,1
80.2,0,1
26.4,1,0
144.6,1,0
73.6,0,1
125.6,0,1
144.1,0,1
20.5,1,0
97.3,0,1
49.6,0,1
32.9,1,0
72.8,1,0
