alpha,X,Y
18.8,1,0
86.8,1,0
64.2,1,0
114.7,0,1
42.6,1,0
72.7,1,0
163.5,0,1
51.7,0,1
57.2,1,0
148.4,0,1
161.6,0,1
154.6,0,1
47.3,1,0
176.4,1,0
168.3,1,0
13.9,0,1
90.4,1,0
16.2,0,1
62.2,1,0
153.5,1,0
145.8,1,0
45.5,0,1
136.4,0,1
30.7,0,1
37.5,0,1
98.2,1,0
11.6,1,0
20.3,1,0
171.3,1,0
109.7,0,1
22.9,1,0
150.3,0,1
75.4,1,0
123.6,1,0
36.7,0,1
120.3,0,1
147.3,0,1
5.5,1,0
150.2,0,1
144.8,0,1
94.1,0,1
142.6,1,0
51.5,1,0
62.2,1,0
32.9,0,1
20.1,0,1
69.0,0,1
59.3,1,0
72.1,1,0
151.0,1,0
84.4,0,1
104.0,0,1
66.8,0,1
56.2,0,1
149.1,1,0
65.0,1,0
41.4,1,0
97.0,1,0
44.8,1,0
58.6,1,0
9.4,0,1
156.7,1,0
75.2,1,0
139.9,0,1
62.9,1,0
94.2,1,0
153.8,1,0
38.1,1,0
126.3,1,0
149.9,1,0
34.2,0,1
28.7,0,1
109.2,1,0
105.2,1,0
107.1,1,0
96.8,0,1
61.5,1,0
146.4,0,1
67.9,0,1
92.3,0,1
109.5,0,1
95.8,0,1
8.5,1,0
27.5,1,0
81.5,0,1
153.6,0,1
106.4,0,1
175.8,0,1
111.6,0,1
50.5,1,0
153.6,0,1
19.5,1,0
137.5,1,0
55.4,0,1
125.7,0,1
11.4,1,0
120.1,0,1
27.3,1,0
58.6,1,0
172.8,0,1
94.1,1,0
7.8,1,0
123.5,0,1
27.9,1,0
134.7,1,0
112.7,0,1
66.7,0,1
173.4,1,0
112.8,1,0
48.8,0,1
44.3,1,0
113.4,0,1
77.3,0,1
10.0,0,1
23.2,0,1
65.6,0,1
109.1,1,0
60.7,0,1
104.0,1,0
28.1,0,1
27.3,1,0
102.6,1,0
63.1,0,1
94.0,1,0
109.4,1,0
165.1,1,0
81.8,0,1
164.7,0,1
174.4,0,1
113.8,0,1
26.4,1,0
143.5,0,1
12.4,0,1
17.5,1,0
53.7,1,0
71.7,0,1
157.9,0,1
39.2,0,1
115.5,1,0
11.7,1,0
165.6,1,0
114.4,1,0
9.2,0,1
80.1,0,1
105.6,1,0
14.9,0,1
71.7,1,0
98.2,0,1
72.1,0,1
6.4,1,0
3.6,0,1
49.9,0,1
40.4,1,0
73.4,1,0
35.9,1,0
160.0,0,1
96.9,1,0
33.2,0,1
1.8,0,1
155.0,1,0
151.7,0,1
11.0,0,1
56.1,1,0
18.8,1,0
22.9,0,1
130.4,0,1
54.9,1,0
39.5,0,1
169.7,0,1
140.2,1,0
35.6,1,0
13.7,0,1
58.9,1,0
73.1,0,1
174.3,0,1
114.5,1,0
107.0,0,1
21.2,1,0
61.9,0,1
175.9,0,1
86.1,1,0
82.9,0,1
37.6,1,0
30.2,1,0
11.8,1,0
162.9,1,0
169.5,1,0
66.1,0,1
48.8,0,1
174.4,1,0
153.7,1,0
131.8,1,0
106.6,0,1
171.4,1,0
9.8,0,1
72.0,0,1
153.3,1,0
19.6,0,1
46.8,1,0
38.6,1,0
72.7,1,0
55.5,0,1
65.7,1,0
12.3,1,0
143.5,1,0
32.0,0,1
156.5,0,1
110.1,1,0
131.5,1,0
113.8,0,1
138.9,1,0
63.3,0,1
43.0,1,0
5.9,1,0
152.6,0,1
121.6,1,0
38.5,1,0
26.5,1,0
2.5,1,0
164.9,1,0
122.2,0,1
69.0,1,0
149.6,1,0
93.3,0,1
102.4,0,1
160.0,0,1
134.2,1,0
55.9,0,1
117.6,0,1
45.7,0,1
11.2,0,1
93.3,0,1
139.0,1,0
60.3,1,0
140.5,1,0
119.5,1,0
7.6,0,1
63.2,1,0
102.5,0,1
124.6,0,1
67.5,0,1
35.2,0,1
113.8,0,1
139.3,1,0
115.5,0,1
62.4,0,1
79.0,0,1
10.5,1,0
102.6,1,0
2.6,0,1
165.3,1,0
157.2,0,1
23.3,1,0
178.5,0,1
144.0,1,0
23.5,0,1
17.3,0,1
110.2,1,0
107.2,0,1
67.3,1,0
79.5,0,1
78.8,1,0
35.2,1,0
0.5,0,1
173.8,1,0
11.1,1,0
127.2,1,0
49.1,0,1
44.2,1,0
17.9,0,1
156.8,0,1
27.2,0,1
127.6,0,1
20.6,0,1
166.5,0,1
155.4,1,0
62.7,1,0
72.4,0,1
124.2,0,1
77.5,0,1
17.7,0,1
46.3,0,1
122.2,1,0
87.6,1,0
116.9,0,1
82.8,1,0
158.1,1,0
165.4,0,1
72.5,1,0
12.1,0,1
119.1,1,0
111.7,0,1
58.9,0,1
114.3,0,1
167.3,1,0
60.2,0,1
67.8,1,0
97.3,1,0
142.3,1,0
172.0,1,0
71.3,0,1
85.6,1,0
169.5,1,0
61.3,0,1
121.5,1,0
83.0,1,0
12.3,0,1
13.6,1,0
14.7,0,1
143.5,1,0
118.5,1,0
41.5,1,0
98.5,0,1
142.5,0,1
48.8,0,1
6.0,1,0
55.1,0,1
134.7,1,0
51.8,1,0
43.7,1,0
60.2,0,1
174.7,0,1
169.1,1,0
82.9,1,0
179.6,0,1
67.8,0,1
34.9,0,1
162.3,1,0
127.8,0,1
117.7,1,0
134.9,1,0
29.0,0,1
140.6,0,1
127.1,1,0
144.4,0,1
32.1,1,0
144.9,0,1
125.1,0,1
126.5,0,1
23.3,0,1
168.6,1,0
102.8,1,0
89.8,0,1
111.1,0,1
178.9,0,1
35.7,1,0
147.5,1,0
94.5,0,1
2.7,0,1
66.1,0,1
151.5,0,1
98.2,0,1
108.6,1,0
124.9,1,0
64.1,0,1
13.1,0,1
150.9,1,0
104.8,0,1
23.8,1,0
74.3,1,0
138.3,1,0
147.6,1,0
177.1,1,0
52.9,0,1
176.8,1,0
15.1,0,1
152.4,1,0
107.0,1,0
137.4,0,1
57.2,0,1
141.3,0,1
139.0,1,0
66.9,0,1
118.7,0,1
72.1,0,1
139.6,1,0
126.5,0,1
52.0,0,1
115.3,0,1
72.1,1,0
86.5,0,1
8.3,0,1
121.9,0,1
163.0,0,1
12.6,1,0
151.7,1,0
125.5,1,0
152.2,1,0
108.4,0,1
152.2,1,0
142.6,1,0
81.5,0,1
79.8,0,1
26.4,0,1
29.5,1,0
160.4,1,0
72.3,0,1
138.2,0,1
78.0,1,0
59.9,0,1
48.3,1,0
41.8,0,1
80.3,0,1
143.4,0,1
32.0,0,1
63.3,0,1
168.8,1,0
74.4,0,1
0.4,1,0
146.0,1,0
146.5,1,0
108.6,1,0
150.6,1,0
80.3,1,0
40.9,1,0
156.3,1,0
32.8,0,1
105.5,0,1
32.9,0,1
92.3,1,0
102.1,0,1
4.6,1,0
83.6,1,0
23.2,0,1
151.7,1,0
114.5,1,0
54.0,0,1
48.0,0,1
102.6,0,1
149.4,1,0
100.9,1,0
70.2,0,1
84.2,0,1
142.3,0,1
115.8,1,0
142.9,1,0
145.3,1,0
123.0,0,1
98.8,1,0
13.3,0,1
157.3,0,1
124.6,0,1
108.5,0,1
62.4,1,0
178.2,0,1
17.5,1,0
116.3,0,1
176.9,0,1
59.7,0,1
156.6,1,0
123.4,0,1
62.2,0,1
99.2,1,0
51.0,1,0
143.6,0,1
34.2,1,0
56.7,1,0
118.6,1,0
105.3,0,1
152.1,0,1
11.1,1,0
55.9,1,0
33.4,1,0
156.0,1,0
48.9,1,0
142.1,0,1
141.2,0,1
57.1,0,1
114.1,1,0
9.7,1,0
15.1,0,1
93.5,0,1
39.4,0,1
159.3,0,1
34.6,1,0
150.6,1,0
148.6,1,0
55.4,0,1
56.2,0,1
74.5,0,1
19.3,0,1
10.3,1,0
54.9,0,1
4.8,0,1
51.8,0,1
92.4,0,1
134.0,1,0
14.7,1,0
104.9,0,1
157.7,1,0
154.7,1,0
113.1,0,1
157.5,0,1
29.7,0,1
25.5,0,1
3.4,0,1
121.3,1,0
37.4,0,1
8.1,0,1
115.1,1,0
121.1,0,1
42.0,0,1
51.4,0,1
140.5,1,0
48.2,0,1
171.1,1,0
32.0,1,0
156.2,0,1
22.2,0,1
114.4,1,0
140.1,0,1
158.0,0,1
56.2,1,0
151.1,0,1
17.4,0,1
93.7,1,0
34.8,1,0
5.8,1,0
113.3,0,1
164.6,0,1
19.4,0,1
102.9,0,1
55.4,0,1
101.1,1,0
169.5,1,0
48.1,1,0
59.3,1,0
177.0,0,1
18.9,0,1
0.7,0,1
80.5,0,1
87.8,0,1
54.7,0,1
124.9,0,1
31.7,1,0
134.2,0,1
75.7,0,1
48.1,1,0
51.4,0,1
79.7,1,0
93.4,1,0
172.7,0,1
13.1,0,1
44.2,0,1
120.2,0,1
158.6,0,1
19.2,1,0
103.0,1,0
0.1,1,0
29.5,0,1
18.3,1,0
110.7,0,1
26.3,1,0
76.3,1,0
1.2,0,1
94.4,1,0
106.1,1,0
80.8,0,1
174.4,1,0
0.0,0,1
16.7,1,0
3.6,1,0
104.8,0,1
155.4,0,1
75.9,1,0
111.0,0,1
121.4,1,0
154.4,0,1
33.9,0,1
168.6,1,0
18.3,1,0
107.3,1,0
30.5,1,0
110.0,0,1
24.2,1,0
153.2,1,0
31.6,0,1
46.9,0,1
33.9,1,0
2.6,1,0
50.4,1,0
156.5,1,0
76.0,1,0
142.1,0,1
174.0,0,1
87.5,0,1
149.7,1,0
157.3,1,0
124.7,1,0
10.0,0,1
125.3,1,0
9.4,1,0
71.2,0,1
104.7,0,1
144.7,0,1
145.5,0,1
168.1,0,1
79.9,1,0
171.9,1,0
114.7,1,0
161.0,1,0
29.6,0,1
56.4,0,1
10.7,0,1
37.2,0,1
160.4,1,0
13.4,0,1
84.5,1,0
