alpha X Y
2.668115629305216063e-01 0 1
4.380068027886200310e-01 1 0
2.187760071107403892e+00 0 1
3.095499476364072855e+00 1 1
1.414386719415822391e+00 0 1
2.951473045222746450e+00 1 1
1.195539927026412874e+00 1 0
4.936246255137519134e-01 1 0
2.625125609818923955e+00 0 1
4.093036464548581721e-01 1 0
1.933195527846649719e+00 0 1
8.756684962930348926e-01 1 0
3.082666323108017359e+00 1 0
9.713054382049165492e-01 1 1
1.989007109780202898e+00 0 1
1.839638116307759974e+00 1 0
1.836189679930122498e-02 0 1
2.696953962934592663e+00 0 1
2.617163817068733689e+00 1 1
1.200424097528387746e+00 1 0
2.828190813487259092e+00 0 1
1.526928312247746167e+00 1 0
3.590105047469383526e-01 1 0
1.270759961043448794e+00 0 1
2.651142870422424913e-01 1 0
1.116721631710305918e+00 1 0
1.367936468384734150e+00 1 1
3.111658469358564716e+00 0 1
1.438384841834998706e-01 1 0
2.352075909209252469e+00 0 1
1.707283126118280259e-01 0 1
1.464968095046478014e-01 1 0
1.623529783346675526e+00 0 1
2.095499346354868564e+00 0 1
3.642364932089578455e-01 1 0
1.123866216900792248e+00 0 1
1.364719117576995266e+00 1 0
2.179378625805224345e+00 1 1
1.258568858877471497e+00 0 1
1.384220848597207842e+00 1 1
3.022784701634301907e+00 1 0
2.530993314331061228e+00 0 1
1.655282730638246158e-01 1 0
1.478913806616573456e+00 0 1
2.273678797096085002e+00 0 1
4.130256170646801617e-01 1 0
1.769596678255910716e+00 1 1
1.492747589310159606e+00 1 0
1.887064999524399767e+00 0 1
2.499083674083276030e+00 1 0
1.609589156662884157e+00 0 1
2.769516078918894397e+00 0 1
9.847330180376984154e-01 1 0
2.846252279546793940e+00 0 1
2.278989757363724777e+00 0 1
2.092604110352557889e+00 0 1
1.053239256810874824e+00 1 1
2.771047619042455779e+00 0 1
1.904002481883492637e+00 0 1
1.933756347824898247e+00 0 1
2.735947851263060393e+00 0 1
1.552660899778740111e+00 0 1
5.243709467486299403e-01 1 0
8.986477967903441222e-01 1 1
1.965151820686404704e+00 0 1
2.073688762700682808e+00 0 1
2.214653416788737506e+00 0 1
7.294404019305243958e-01 1 0
5.678077236291563246e-01 1 0
4.272179214442107242e-01 1 1
2.905229317669317801e+00 1 0
2.456740014162828167e+00 1 1
2.120389463927692675e-01 1 0
1.932835759286407606e+00 0 1
1.422423499295143667e+00 1 0
8.388510275952195672e-01 1 1
3.563294909028722479e-01 1 0
1.555935159854744620e+00 1 1
2.368019537454351564e+00 0 1
2.146323274139572135e+00 0 1
2.991129417677186542e+00 1 0
6.591985981847210685e-02 1 0
