fichier,angle1,pvalue1,angle2,pvalue2,pvalue_correlation,S,intrication,viole CHSH
dataset-00.csv,-1.0,-1.0,-1.0,-1.0,0.0,0.1164311383061383,False,False
dataset-01.csv,69.9,0.6543749217675151,69.8,0.0112778223511699,0.0,1.837352019677415,False,False
dataset-02.csv,10.4,0.9441708525073076,9.5,0.7209931004771148,0.0,1.955555555555556,False,False
dataset-03.csv,-1.0,-1.0,-1.0,-1.0,1.0,2.177777777777778,False,False
dataset-04.csv,9.2,0.9511805300376432,9.0,0.6005043741395558,1.0,2.1,False,False
dataset-05.csv,-1.0,-1.0,-1.0,-1.0,0.2654874731077297,2.733818288541361,True,False
dataset-06.csv,-1.0,-1.0,-1.0,-1.0,0.1128959102835359,3.146310596310596,True,True
dataset-07.csv,-1.0,-1.0,-1.0,-1.0,0.0029001041275365,2.667094344261883,True,False
dataset-08.csv,-1.0,-1.0,-1.0,-1.0,1.0,2.649019607843137,True,False
dataset-09.csv,10.0,0.968607608990011,9.700000000000001,0.30295504600625656,1.0,2.0437796225387377,False,False
