alpha,beta,Xalpha,Yalpha,Xbeta,Ybeta
51.6,146,1,0,1,0
178.1,152,0,1,0,1
67.5,59,1,0,1,0
107.9,93,1,0,1,0
171.4,142,0,1,0,1
60.7,166,1,0,0,1
149.7,138,0,1,1,0
4.0,57,0,1,0,1
25.8,32,0,1,1,0
171.3,169,0,1,0,1
93.8,26,1,0,0,1
7.2,80,0,1,1,0
170.6,166,0,1,0,1
18.2,169,0,1,1,0
77.0,79,1,0,1,0
158.2,69,0,1,1,0
86.1,171,1,0,0,1
68.5,72,1,0,1,0
144.0,24,0,1,0,1
129.3,150,0,1,0,1
7.7,168,0,1,0,1
12.4,87,1,0,1,0
170.2,92,0,1,1,0
58.4,1,0,1,0,1
153.8,17,1,0,0,1
138.5,71,1,0,1,0
38.6,108,0,1,1,0
52.9,125,0,1,1,0
95.3,86,1,0,1,0
90.4,29,1,0,0,1
93.1,50,1,0,0,1
63.2,179,1,0,0,1
118.1,59,1,0,0,1
144.2,80,0,1,0,1
56.2,130,0,1,1,0
114.7,141,1,0,0,1
172.1,148,0,1,0,1
174.6,23,0,1,1,0
47.6,8,1,0,0,1
103.2,131,0,1,0,1
87.2,41,1,0,0,1
24.4,75,0,1,1,0
55.5,159,1,0,0,1
170.8,113,0,1,1,0
99.5,132,0,1,1,0
11.6,14,0,1,0,1
84.0,54,1,0,0,1
134.0,87,1,0,1,0
172.0,56,0,1,1,0
128.7,40,0,1,0,1
148.4,89,0,1,1,0
137.8,119,0,1,1,0
38.1,77,1,0,0,1
0.3,19,0,1,0,1
160.1,74,0,1,1,0
45.3,90,1,0,1,0
1.9,106,0,1,1,0
23.2,87,1,0,1,0
85.7,13,1,0,0,1
38.4,137,1,0,0,1
13.8,125,0,1,0,1
29.0,49,0,1,1,0
25.4,95,0,1,1,0
21.3,105,0,1,1,0
131.2,152,0,1,1,0
110.4,54,0,1,1,0
15.6,172,0,1,0,1
100.3,73,1,0,1,0
57.5,15,1,0,0,1
37.3,63,0,1,1,0
129.1,82,0,1,1,0
49.1,167,1,0,0,1
132.1,156,1,0,0,1
66.3,119,1,0,0,1
36.1,13,1,0,0,1
76.2,94,1,0,1,0
85.3,176,1,0,0,1
68.1,134,1,0,1,0
112.9,95,1,0,1,0
104.8,154,1,0,0,1
164.8,49,0,1,1,0
106.9,59,0,1,0,1
160.3,32,0,1,1,0
107.1,41,1,0,1,0
166.6,178,0,1,0,1
139.7,71,0,1,1,0
50.7,84,1,0,1,0
176.5,130,0,1,1,0
1.3,64,0,1,1,0
12.9,143,0,1,0,1
50.0,49,1,0,1,0
75.5,3,1,0,0,1
115.4,94,1,0,1,0
4.8,132,0,1,1,0
11.2,26,0,1,1,0
177.9,83,0,1,1,0
42.4,143,0,1,0,1
122.9,14,1,0,0,1
114.1,33,0,1,0,1
159.9,98,0,1,1,0
105.3,34,1,0,1,0
56.0,148,1,0,0,1
68.2,172,1,0,0,1
154.9,133,0,1,0,1
87.6,121,1,0,1,0
39.1,135,0,1,1,0
23.9,49,0,1,1,0
11.0,130,0,1,1,0
26.2,17,1,0,0,1
5.1,85,0,1,1,0
19.5,7,0,1,0,1
4.4,94,0,1,1,0
133.4,1,0,1,0,1
85.8,99,1,0,1,0
117.2,47,1,0,1,0
139.8,133,1,0,0,1
8.3,3,0,1,0,1
14.7,100,0,1,1,0
148.5,56,1,0,1,0
179.3,110,0,1,1,0
110.2,6,1,0,0,1
151.0,20,0,1,1,0
30.9,124,1,0,1,0
83.6,47,1,0,0,1
145.4,79,1,0,1,0
37.4,22,0,1,0,1
12.5,79,0,1,1,0
2.1,27,0,1,0,1
19.0,59,0,1,1,0
168.9,88,0,1,1,0
14.8,105,0,1,1,0
63.1,80,1,0,1,0
100.4,151,1,0,0,1
14.4,164,0,1,0,1
75.4,114,1,0,1,0
48.5,136,1,0,0,1
19.1,94,0,1,1,0
36.7,77,1,0,1,0
15.5,36,1,0,0,1
130.1,68,0,1,1,0
82.7,48,1,0,0,1
94.8,71,1,0,1,0
158.5,92,0,1,1,0
82.6,84,1,0,1,0
0.2,114,0,1,1,0
173.4,11,0,1,0,1
122.9,137,0,1,0,1
46.4,114,1,0,0,1
82.5,176,1,0,0,1
43.9,173,0,1,0,1
30.6,107,1,0,1,0
38.7,165,0,1,0,1
46.8,5,0,1,0,1
143.3,58,0,1,1,0
6.1,116,0,1,1,0
108.1,33,1,0,1,0
12.1,179,0,1,0,1
152.8,3,0,1,0,1
95.5,124,1,0,0,1
169.1,89,0,1,1,0
7.7,108,0,1,1,0
130.3,118,1,0,0,1
93.1,166,1,0,0,1
139.8,114,1,0,1,0
161.2,124,0,1,0,1
73.4,120,1,0,1,0
29.2,29,1,0,0,1
45.3,176,1,0,0,1
168.4,132,0,1,0,1
98.3,5,1,0,0,1
82.6,178,1,0,0,1
59.7,177,0,1,0,1
3.3,65,0,1,1,0
140.6,41,0,1,1,0
23.1,41,1,0,1,0
54.3,49,1,0,0,1
154.3,80,0,1,1,0
170.1,144,0,1,0,1
29.4,20,1,0,0,1
65.5,162,1,0,0,1
168.3,11,0,1,1,0
138.0,78,1,0,1,0
23.8,14,0,1,0,1
69.2,1,1,0,0,1
38.5,107,1,0,1,0
49.3,65,1,0,0,1
52.2,6,1,0,0,1
82.5,107,1,0,1,0
23.8,90,1,0,1,0
108.8,164,1,0,0,1
22.2,130,0,1,0,1
113.2,147,1,0,0,1
7.0,158,0,1,0,1
172.2,102,0,1,1,0
14.6,150,0,1,1,0
154.2,85,0,1,1,0
58.7,36,1,0,1,0
138.1,90,1,0,1,0
159.3,98,1,0,1,0
149.8,120,0,1,1,0
133.2,128,0,1,0,1
77.5,57,1,0,1,0
102.8,111,1,0,1,0
30.3,34,1,0,1,0
120.4,93,1,0,1,0
170.5,154,0,1,1,0
50.6,54,1,0,1,0
146.9,20,0,1,0,1
61.0,73,1,0,1,0
11.6,46,0,1,0,1
169.1,126,0,1,1,0
10.3,156,0,1,0,1
115.2,79,1,0,1,0
42.2,134,0,1,1,0
127.8,28,1,0,0,1
172.9,105,0,1,1,0
99.8,26,1,0,1,0
176.1,17,0,1,0,1
108.8,57,1,0,1,0
27.4,57,0,1,1,0
146.0,179,0,1,0,1
28.6,139,0,1,1,0
14.0,16,0,1,0,1
120.4,62,1,0,1,0
156.3,32,0,1,0,1
112.6,135,1,0,1,0
152.8,15,0,1,0,1
119.6,157,1,0,0,1
89.7,169,1,0,0,1
111.1,98,1,0,1,0
174.2,164,0,1,0,1
89.1,2,1,0,0,1
78.7,118,1,0,1,0
131.2,87,1,0,1,0
116.6,174,1,0,0,1
59.6,50,1,0,1,0
45.9,90,1,0,1,0
12.1,53,1,0,1,0
38.9,25,0,1,0,1
104.6,171,1,0,0,1
49.1,162,1,0,0,1
111.4,3,0,1,0,1
123.6,141,1,0,1,0
61.0,163,1,0,0,1
86.0,13,1,0,0,1
166.2,167,0,1,0,1
40.3,1,0,1,0,1
64.5,1,1,0,0,1
136.3,147,1,0,0,1
137.2,80,0,1,1,0
135.4,121,0,1,1,0
162.9,155,0,1,0,1
156.6,56,0,1,1,0
170.1,5,0,1,0,1
32.6,109,0,1,1,0
135.1,92,0,1,1,0
43.1,176,1,0,0,1
59.6,58,0,1,0,1
101.7,43,1,0,1,0
24.9,124,0,1,1,0
168.5,166,0,1,0,1
19.1,172,0,1,0,1
130.1,70,0,1,1,0
34.4,39,1,0,0,1
169.0,163,0,1,0,1
131.1,153,1,0,1,0
121.4,74,1,0,1,0
127.0,121,1,0,1,0
14.6,64,0,1,1,0
137.5,171,0,1,0,1
26.3,108,0,1,1,0
70.2,147,1,0,0,1
141.5,86,1,0,1,0
24.9,59,0,1,1,0
39.9,153,0,1,0,1
87.8,33,1,0,0,1
59.1,147,1,0,1,0
118.6,89,1,0,1,0
35.6,161,0,1,0,1
110.5,176,0,1,0,1
70.4,62,0,1,1,0
142.6,104,0,1,1,0
151.0,68,0,1,1,0
122.0,96,1,0,1,0
56.0,104,1,0,1,0
156.6,141,0,1,0,1
86.3,110,1,0,1,0
93.4,132,1,0,0,1
95.6,10,1,0,0,1
59.7,46,1,0,1,0
123.7,53,1,0,1,0
72.0,17,1,0,0,1
107.1,72,1,0,0,1
13.5,156,0,1,0,1
146.8,166,0,1,0,1
158.8,128,0,1,1,0
112.1,74,0,1,1,0
26.1,13,0,1,0,1
155.6,83,0,1,1,0
48.9,109,1,0,1,0
41.1,98,0,1,1,0
160.0,106,0,1,1,0
177.2,9,0,1,0,1
114.2,44,1,0,1,0
73.7,108,1,0,1,0
129.0,155,0,1,0,1
141.0,133,0,1,0,1
33.0,78,1,0,1,0
152.8,117,0,1,1,0
6.6,120,0,1,0,1
46.1,159,0,1,0,1
109.0,50,1,0,1,0
58.7,95,0,1,1,0
9.1,27,0,1,0,1
153.9,35,0,1,1,0
78.0,21,1,0,0,1
28.5,155,1,0,0,1
32.8,61,0,1,0,1
167.4,40,0,1,0,1
19.6,65,0,1,1,0
83.4,114,1,0,1,0
71.3,162,1,0,0,1
151.3,128,0,1,0,1
65.4,161,1,0,0,1
157.2,129,0,1,1,0
69.0,168,1,0,0,1
29.8,103,1,0,1,0
67.7,124,1,0,0,1
151.7,20,0,1,0,1
94.5,177,1,0,0,1
32.4,73,0,1,1,0
129.9,115,0,1,1,0
111.0,60,1,0,0,1
24.3,178,0,1,0,1
127.2,69,0,1,0,1
31.5,116,1,0,1,0
111.9,90,1,0,1,0
86.5,5,1,0,0,1
79.0,154,1,0,0,1
134.1,49,1,0,1,0
172.6,158,0,1,0,1
37.6,93,0,1,1,0
158.8,44,0,1,1,0
80.5,27,1,0,0,1
111.8,111,0,1,1,0
78.2,78,1,0,1,0
86.9,51,1,0,0,1
63.6,56,1,0,1,0
125.0,41,0,1,0,1
123.7,125,0,1,0,1
26.2,165,0,1,0,1
68.3,137,1,0,0,1
115.1,69,1,0,1,0
16.9,53,0,1,0,1
124.5,176,1,0,0,1
74.4,35,1,0,0,1
105.4,29,1,0,0,1
115.5,151,1,0,0,1
95.8,143,0,1,1,0
38.7,148,1,0,0,1
21.1,157,0,1,0,1
86.0,39,1,0,0,1
106.4,81,1,0,1,0
54.7,139,1,0,0,1
133.9,177,1,0,0,1
135.0,66,0,1,1,0
178.9,129,0,1,1,0
128.0,22,1,0,0,1
90.8,96,1,0,1,0
99.3,83,1,0,1,0
174.3,21,0,1,0,1
