alpha,X,Y
154.0,1,0
159.3,0,1
102.0,1,0
86.6,1,0
56.1,1,0
112.6,0,1
46.4,0,1
17.9,1,0
119.7,1,0
23.8,0,1
14.9,1,0
124.4,1,0
15.8,1,0
143.3,0,1
126.2,0,1
166.7,1,0
31.6,1,0
158.2,1,0
100.4,0,1
177.8,1,0
18.5,0,1
97.7,0,1
39.5,0,1
0.3,0,1
93.1,1,0
32.2,1,0
12.3,0,1
99.9,1,0
2.1,0,1
70.3,0,1
60.6,1,0
41.0,0,1
173.3,1,0
123.9,1,0
158.2,1,0
160.4,0,1
116.7,1,0
176.2,0,1
55.8,0,1
71.6,1,0
25.1,0,1
146.7,0,1
168.5,1,0
148.5,1,0
42.6,1,0
174.3,1,0
7.6,1,0
4.8,0,1
50.6,1,0
14.1,0,1
28.3,0,1
148.9,1,0
56.0,0,1
79.9,0,1
31.6,1,0
127.1,0,1
56.2,1,0
170.0,0,1
160.5,0,1
32.1,0,1
42.1,1,0
55.0,1,0
156.8,0,1
1.3,0,1
159.5,1,0
57.0,1,0
148.3,0,1
98.2,1,0
120.7,1,0
138.6,0,1
61.5,1,0
156.8,0,1
28.1,1,0
96.5,1,0
16.0,1,0
4.2,1,0
122.8,0,1
102.5,1,0
3.3,1,0
37.5,0,1
77.8,0,1
153.3,0,1
111.9,1,0
100.6,0,1
141.4,1,0
55.6,1,0
33.5,0,1
166.2,1,0
15.3,0,1
10.5,1,0
177.9,1,0
23.1,1,0
35.5,0,1
168.1,0,1
107.6,1,0
141.9,0,1
119.6,1,0
69.9,0,1
53.3,1,0
102.8,0,1
68.5,1,0
86.7,1,0
74.8,0,1
127.0,1,0
24.6,0,1
21.7,0,1
171.6,0,1
150.2,0,1
100.1,1,0
160.3,0,1
143.1,0,1
156.7,1,0
11.9,1,0
80.6,0,1
101.6,1,0
34.4,1,0
121.6,1,0
112.0,1,0
172.7,0,1
173.8,1,0
96.7,1,0
37.9,1,0
33.7,1,0
100.3,0,1
108.0,0,1
30.2,1,0
22.2,1,0
147.5,0,1
24.9,1,0
72.8,0,1
93.6,1,0
78.3,0,1
0.8,1,0
144.8,1,0
50.7,1,0
68.5,1,0
99.6,0,1
146.2,1,0
72.1,1,0
178.0,1,0
149.9,0,1
167.4,0,1
59.7,0,1
39.6,0,1
29.1,0,1
68.0,0,1
5.0,0,1
63.9,1,0
134.1,0,1
49.2,1,0
150.3,1,0
27.5,1,0
41.7,0,1
85.0,1,0
90.4,0,1
164.1,1,0
133.5,0,1
125.6,1,0
